책 제목,소개글
국경일에 숨은 우리나라 역사 이야기 (우리가 꼭 기억해야 할 국경일),『국경일에 숨은 우리나라 역사 이야기』는 우리나라 5대 국경일과 법정 기념일 중 현충일을 소개하고 있어요. 각 국경일과 기념일을 소개하기 전에 먼저 주제와 관련된 에피소드를 담아 흥미를 느낄 수 있게 구성했어요. ‘그날의 문 두드리기’ 코너에서는 국경일에 대한 간략한 소개와 함께 어린이들이 궁금할 만한 질문을 던지고 있어요. ‘한 걸음 더! 역사 속으로’ 코너에서는 우리나라 역사와 시대 배경 등을 이해하기 쉽게 설명하고 있어요. 이야기의 맨 끝에는 인물과 주제 관련 장소를 소개합니다. 본 책의 이야기를 읽고 나서 만들기 책의 오리기 도안과 활동판을 사용해서 미니북(6권)도 만들 수 있어요. 스스로 미니북을 만들어 보면서 앞에서 소개했던 내용을 다시 한번 정리할 수 있어요. 또 이렇게 만든 미니북은 언제든 꺼내서 우리나라 역사 이야기를 한눈에 살펴볼 수 있는 나만의 유용한 학습 자료가 될 거예요!『국경일에 숨은 우리나라 역사 이야기』는 우리나라 5대 국경일과 법정 기념일 중 현충일을 소개하고 있어요. 각 국경일과 기념일을 소개하기 전에 먼저 주제와 관련된 에피소드를 담아 흥미를 느낄 수 있게 구성했어요. ‘그날의 문 두드리기’ 코너에서는 국경일에 대한 간략한 소개와 함께 어린이들이 궁금할 만한 질문을 던지고 있어요. ‘한 걸음 더! 역사 속으로’ 코너에서는 우리나라 역사와 시대 배경 등을 이해하기 쉽게 설명하고 있어요. 이야기의 맨 끝에는 인물과 주제 관련 장소를 소개합니다. 본 책의 이야기를 읽고 나서 만들기 책의 오리기 도안과 활동판을 사용해서 미니북(6권)도 만들 수 있어요. 스스로 미니북을 만들어 보면서 앞에서 소개했던 내용을 다시 한번 정리할 수 있어요. 또 이렇게 만든 미니북은 언제든 꺼내서 우리나라 역사 이야기를 한눈에 살펴볼 수 있는 나만의 유용한 학습 자료가 될 거예요!
고정욱이 들려주는 역사 한 장면 1: 나라의 탄생 (나라의 탄생),"우리 역사에서 꼭 기억해야 할 순간들이 있습니다. 역사의 한 장면이 우리에게 던지는 주제가 묵직할수록 더 꼼꼼히 그 장면을 짚어 봐야 하겠지요. 〈고정욱이 들려주는 역사 한 장면〉 시리즈는 시대순으로 나열되는 역사가 아닌 이야기로 묘사되는 역사를 선사합니다. 첫 번째 주제는 ‘나라의 탄생’입니다. 건국을 주제로 발해, 고려, 조선의 이야기가 독자를 격정적이었던 역사의 한순간으로 데리고 갑니다. 더 나은 세상을 바라는 개혁의 열망이 나라의 탄생으로 이어졌음을 알게 됩니다. 한국사의 중요한 순간으로 고정욱 작가와 함께 들어가 보세요. 재미있는 역사 이야기를 통해 어린이 스스로 역사를 알아갈 것입니다."
페이퍼빌드 5단 진화 자이언트로봇 종이접기 (학접기 블록으로 만드는 입체 종이 로봇),"유튜브 구독자 6만! 누적 조회수 3천만 돌파! 화제의 종이접기 유튜버!!!
페이퍼빌드 시리즈 5번째 책! 5단 진화 자이언트로봇으로 돌아왔다! 
학접기 블록을 조립해 더 화려하고 점점 커지는 거대 로봇 완성!
1단계부터 차근차근 접어 나만의 멋진 로봇을 전시하세요!

전 세계 어디서도 만날 수 없는 특별한 종이접기, 페이퍼빌드 종이접기! 페이퍼빌드 시리즈의 다섯 번째 책이 찾아왔습니다. 페이퍼빌드 하면 떠오르는 로봇! 이번 책에서는 무려 5단 진화가 가능한 초거대 자이언트로봇을 접을 수 있답니다! 
어려운 부분에는 QR코드 동영상을 첨부했기 때문에 페이퍼빌드의 직강을 들으면서 접을 수 있습니다. 실제 건담보다 더욱 멋있는 종이 로봇을 접어 학교에 가져가보세요. 모두의 관심을 받는 나도 인기 스타!!!"
우리가 행복해지기 위해 담아야 할 것들 (비워진 감정에 단단함을 채우는 마음 다지기 필사 노트),"비워진 감정에 단단함을 채우는
마음 다지기 필사 노트

행복은 어디에서 오는 것일까? 외적인 성공과 물질적 풍요가 우리에게 지속적인 만족을 줄 수 있을까? 『우리가 행복해지기 위해 담아야 할 것들』은 이러한 질문에 대한 답을 찾아가는 과정에서 내면의 태도와 마음가짐이 얼마나 중요한지를 일깨워준다.

이 책은 단순한 철학적 탐구에 그치지 않고, 실천 가능한 방법을 제시한다. 철학자, 작가, 위대한 인물들이 남긴 명언을 필사하며, 우리는 내면의 변화를 경험하고 진정한 행복을 찾는 여정을 시작할 수 있다. 

나를 인정하기, 감사하는 마음 갖기, 검소하고 절제된 삶, 칭찬의 즐거움, 나눔의 기쁨을 누리기, 자연과의 조화, 용서와 존중하는 태도, 긍정적인 마인드, 독서의 즐거움, 친절과 겸손함, 품위 있는 언행, 인간관계와 소통, 노동의 성취감, 등 우리가 삶에서 실천해야 할 가치들이 각 장을 통해 질문과 답을 찾아가는 과정을 경험할 수 있을 것이다."
숙제 외계인 곽배기,"★ ⟨내 이름은 십민준⟩ 이송현 작가 신작 ★
외계인이 숙제를 대신 해 준다고?
아니, 더 놀라운 걸 가르쳐 줄 거야! 

“어린이에게는 문제를 해결할 힘을, 양육자에게는
아이의 목소리에 귀 기울이는 법을 가르쳐 주는 작품”
⟨감정을 안아 주는 말⟩ 이현아 선생님 추천

베스트셀러 ⟨내 이름은 십민준⟩ 시리즈로 많은 어린이 독자들에게 사랑을 받아 온 이송현 작가가 새로운 저학년 동화 ⟪숙제 외계인 곽배기⟫를 선보인다. 전작에서 받아쓰기와 구구단 등 어린이의 학업 고민을 생생하게 그려 내 호평받았다면, 이번 작품에서는 숙제를 마주하는 어린이의 솔직한 마음을 유쾌하게 풀어낸다. 숙제를 도와주는 외계인 캐릭터를 통해 혼자 숙제하기 어려워하는 어린이의 마음을 다독여 주고, 숙제의 진정한 의미를 생각해 보게 하는 이야기다.

수학 학원에서 우수는 ‘또야’라는 별명으로 불린다. 숙제를 해 오지 않을 때마다 선생님이 “또야?” 하고 한숨을 쉬기 때문이다. 3학년이 된 우수에게 숙제는 너무 많고 어려운데, 도와주는 사람이 없으니 더욱 막막하다. 그런데 어느 날, 우수 앞에 수상한 외계인이 나타난다. 자신을 곽배기라고 소개한 그 외계인은 숙제를 도와줄 수 있다고 하는데, 과연 우수는 곽배기의 도움으로 숙제에서 해방될 수 있을까? 아니면 숙제를 통해 뜻밖의 행복을 찾게 될까?"
"초코 초등 과학 4-1 (2025년) (2022 개정 교육과정, 교과 학습력을 키우는 초등 필수 기본서)","교과 학습력을 키우는 초등 필수 기본서!



▶ 주제별 대표 탐구를 통해 개념을 쉽게 이해하고!

7종 교과서 속 대표 탐구를 통해 과학 개념을 이해하기 쉽고, 핵심을 파악할 수 있도록 구성하였습니다. 



▶ 스스로 채우고 완성하며 자기 주도적으로 공부하고!

초코 과학의 진도북은 교과서 흐름에 따라 개념을 세분화하여 주제별로 6쪽씩 공부할 수 있도록 구성했습니다. 핵심 개념을 짧게 끊어 구성하여 빠르고 깊이 학습할 수 있고, 핵심 내용을 따라 쓰며 공부하면 교과 개념을 빠르게 익히는 것은 물론, 자기 주도적으로 공부하는 습관을 기를 수 있습니다. 



▶ 맞춤 정리와 단원평가로 교과 학습력 향상!

초코 과학의 평가북은 단원별로 중요하게 다룬 핵심 개념을 한 번에 모아 마무리 학습을 하고, 단원별로 엄선한 핵심 문제를 풀어 보며 부족한 부분을 점검할 수 있습니다. 실제 단원 평가, 수행 평가와 유사한 형태의 평가 문제를 풀어보며 학교 시험에 완벽하게 대비할 수 있습니다."
볼빵빵 배통통 요리 수첩,"어린이가 쉽게 따라 할 수 있는 70가지 요리법을 담은 어린이 요리책 《볼빵빵 배통통 요리 수첩》이 새로 나왔습니다. 통통 튀는 만화와 단순한 요리 과정은 어렵고 복잡하게만 생각해 온 요리를 쉽고 재미있는 활동으로 이끕니다. 제철 채소와 과일을 이용한 다양한 요리법은 편식하는 어린이들에게 식재료에 대한 편견을 넘어서게 하고, 더불어 맛있고 균형 잡힌 식사를 할 수 있도록 돕습니다. 요리는 어린이 성장 발달 단계에서 몸과 마음을 풍요롭게 하는 소중한 활동입니다. 요리에 필요한 재료를 고르고, 순서를 생각하며 조리하는 과정에서 계획하는 힘을 기르고, 부모와 친구와 함께 만들어 먹으며 협동심도 저절로 생깁니다. 식재료를 직접 만지고 잘라 보고, 재료가 가진 고유한 향을 맡고 맛을 보며 오감을 풍부하게 자극하여 창의적이고 감각이 풍부한 사람으로 성장해 나갈 것입니다."
수상한 이웃집 시노다 1 (똑똑! 옆집 여우인데요),"여우가 인간인 척 살려면 뭐가 힘들까?
꼬리를 숨기며 사는 수상한 시노다네의 수상한 이야기

오랜 기간 세계 각국에서 사랑을 받아온 일본의 인기 작가 도미야스 요코의 화제의 판타지가 국내에 출간되었다. 엄마가 여우라는 말할 수 없는 비밀을 숨기고 여우 친척들이 몰고 오는 재앙에 맞서는 유이와 가족들! 이들을 따라 함께 전전긍긍하고 웃음을 터뜨리다 보면 어느새 내가 가진 고민이나 비밀도 이겨낼 수 있을 것 같은 생각이 든다. 누구나 있는 비밀이 이 가족은 꼬리를 숨겨야 하는 것일뿐이니까. 아랫집 아저씨가 신고하기도 하고, 옆집 아주머니가 의심하기도 하지만 모두 쉿! 우리만 모른 척하면 시노다네는 여전히 꼬리를 잘 숨기고 있다."
서비스센터 삼신당,"점지한 아이를 끝까지 책임지는 삼신당 서비스센터 이야기

삼신할머니는 우리 민족에게 아기를 점지하는 일과 출산 및 육아를 관장하는 신으로 숭상되었다. 오늘날에도 곳곳에 삼신할머니가 사는 삼신당이 존재한다. 대체로 마을 어귀에 서 있는 거대한 신목이 삼신할머니이며 또한 삼신당인데, 사람들은 음력 정월 중 택일하거나, 그들이 정한 날에 부정을 금하고 정성을 다하여 제사를 지낸다. 
세상에 생명보다 귀한 것이 있을까? 아기를 낳도록 점지해 주고 잘 자라도록 도와주시니 삼신할머니는 어린이들도 꼭 알아야 할 존재가 아닐 수 없다. 삼신할머니가 어떻게 어린이들을 세상에 보내고 또한 도와주는지 재미있는 이야기가 이 책에서 펼쳐진다. 
삼신당에 사는 삼신할머니는 옥황상제가 준 꽃씨를 서천 꽃밭에 심어 4만 5천6백 종류의 생명꽃으로 가꾼다. 그러고는 자기가 점지한 아이가 열다섯 살이 될 때까지 돌본다. 
대화는 짜증을 지나치게 내서 엄마와 선생님, 친구들을 힘들게 한다. 그 바람에 서천 꽃밭에 피어 있는 대화의 생명꽃이 잿빛으로 시들고 말았다. 삼신할머니는 생명꽃을 살리려고 떡볶이 장수가 되어 내려오고, 그것도 모르는 대화는 양념이 옷에 묻자 또 짜증을 낸다. 그런 대화를 삼신할머니는 이무기로 만들고 삼신당 별채에서 지내게 했는데, 밥과 고기를 스스로 조리해 먹게 한다. 할머니는 광천못 물로 시든 꽃을 살리라고 하면서 대화에게 호리병을 준다. 그러나 광천못까지 가는 길은 험난하기만 하다. 백발 할아버지 밭을 갈아 주고 가는 길을 알았으나 수도 없이 헤매고, 길을 잘못 들어 발설지옥 체험장에 들어서게 된다. 대화는 그곳에서 업경을 통해 그동안 자기가 했던 못된 짓을 모두 보게 되고, 결국 염라대왕에게 벌을 받게 되는데…. 
대화는 광천못에 가서 물을 길어올 수 있을까? 삼신할머니는 아이들을 열다섯 살까지는 돌봐주신다고 하는데, 궁지에 몰린 대화는 도움을 받을 수 있을까?
이 책은 삼신당 설화에 판타지적 요소를 잘 병합하여 읽는 재미를 더한다. 어린이들은 이야기를 읽으면서 자연과 인간이 창조적 질서 속에서 함께 살아가고 있음을 자연스럽게 배울 수 있다. 나아가 생명의 소중함을 입은 우리가 어떤 모습으로 살아가야 하는지도 생각해 보게 한다."
광대 특공대,"“재주나 부리던 광대들이 전쟁에 나간다고?”
역사 속 광대들의 통쾌한 활약을 통해
나만의 꿈을 찾아내는 감동의 성장 동화!

보랏빛소 책 읽는 교실 27번째 시리즈 《광대 특공대》는 열두 살 소년 바우가 자신의 정체성을 찾아가는 여정 속에서, 조선 시대 광대들의 삶과 활약을 생생하게 엿볼 수 있는 성장 동화입니다.
  아버지를 잃고 고아가 된 바우는, 전주 재인청에 들어가 광대의 재주를 배우게 됩니다. 자신이 왜 광대가 되어야 하는지 이해할 수 없었지만, 아버지의 마지막 뜻이었기에 어쩔 수 없이 버나 돌리는 훈련을 받기 시작했어요. 조선의 광대는 다양한 공연으로 백성들에게 즐거움과 위로를 주는 예술가였지만, 현실은 그저 비천한 신분으로 살아가야 했지요. 
  그러던 어느 날, 왜적이 전주를 침범하자 재인청 소속의 광대들에게 전쟁에 출정하라는 명령이 떨어집니다. 장구나 치고 줄이나 타던 광대들이 과연 전쟁에 나가 싸울 수 있을까요? 창과 검 대신 광대들에게 주어진 특별한 임무는 대체 무엇일까요?
  이 책은 1555년 을묘왜변 당시 전주 부윤 이윤경이 광대들을 통해 왜구를 무찔렀다는 《조선왕조실록》의 기록을 바탕으로 작가의 상상력이 더해져 창작된 작품이에요. 화려한 옷을 입은 광대들이 채를 튕기며 버나를 하늘 높이 던졌다가 사뿐히 다시 받아 내는 순간, 섬세한 문장과 일러스트로 독자들의 눈앞에 우리의 아름다운 전통연희가 생생하게 펼쳐질 거예요. 역사의 한 장면 속에서 광대들이 펼치는 놀라운 활약을 통해 용기와 지혜를 배우고, 진정으로 내가 원하는 꿈은 무엇인지 찾아보아요."
